iter	Passed	Remaining
864	1279	199
865	1285	198
866	1286	197
867	1288	195
868	1290	194
869	1291	192
870	1292	191
871	1293	189
872	1294	188
873	1295	186
874	1296	185
875	1297	183
876	1298	182
877	1300	180
878	1302	179
879	1303	177
880	1304	176
881	1305	174
882	1307	173
883	1308	171
884	1309	170
885	1310	168
886	1311	167
887	1312	165
888	1313	164
889	1314	162
890	1315	160
891	1316	159
892	1320	158
893	1322	156
894	1323	155
895	1325	153
896	1326	152
897	1327	150
898	1328	149
899	1329	147
900	1330	146
901	1331	144
902	1332	143
903	1333	141
904	1334	140
905	1335	138
906	1339	137
907	1342	136
908	1344	134
909	1346	133
910	1347	131
911	1348	130
912	1349	128
913	1350	127
914	1351	125
915	1352	123
916	1352	122
917	1353	120
918	1356	119
919	1358	118
920	1359	116
921	1360	115
922	1361	113
923	1362	112
924	1363	110
925	1364	109
926	1364	107
927	1365	105
928	1366	104
929	1367	102
930	1369	101
931	1370	99
932	1371	98
933	1372	96
934	1375	95
935	1378	94
936	1379	92
937	1382	91
938	1383	89
939	1384	88
940	1386	86
941	1387	85
942	1388	83
943	1389	82
944	1390	80
945	1392	79
946	1393	78
947	1397	76
948	1398	75
949	1399	73
950	1400	72
951	1401	70
952	1402	69
953	1403	67
954	1404	66
955	1405	64
956	1406	63
957	1406	61
958	1408	60
959	1409	58
960	1409	57
961	1415	55
962	1417	54
963	1418	52
964	1419	51
965	1420	49
966	1421	48
967	1422	47
968	1423	45
969	1424	44
970	1425	42
971	1426	41
972	1427	39
973	1428	38
974	1433	36
975	1434	35
976	1436	33
977	1438	32
978	1439	30
979	1440	29
980	1441	27
981	1442	26
982	1444	24
983	1451	23
984	1455	22
985	1458	20
986	1468	19
987	1474	17
988	1478	16
989	1491	15
990	1495	13
991	1503	12
992	1507	10
993	1509	9
994	1512	7
995	1514	6
996	1524	4
997	1527	3
998	1528	1
999	1530	0
